Name,Online_Order,Book_Table,Ratings,Dish_Liked,Approx_Cost(For Two People)
XO Belgian Waffle,Yes,No,4.5,"Hot Chocolate, Chocolate Overload, Belgian Waffles, Nutella Waffle, Thick Shakes, Caramel Coffee, Vanilla Ice Cream",400
TRIGEREATO,Yes,Yes,4.3,"Pasta, Salad, Mousse, Noodles, Fries, Mocktails, Pizza",700
Gogula's Sweets & Chats,Yes,No,4.1,"Chole, Kulfi, Kachori, Samosa, Chaat, Pav Bhaji, Barfi",200
Shree Saraswathi Sweets Centre,Yes,No,3.4,Unknown,100
Bake Land,No,No,3.2,Unknown,150
Bakewalk,No,No,3.3,Unknown,200
Biergarten,No,Yes,4.8,"Cocktails, Pizza, Craft Beer, Nachos, Stout, Cheesecake, Chilli Chicken",2100
Toscano,Yes,Yes,4.5,"Pizza, Pasta, Cocktails, Spinach Ravioli, Tiramisu, Wine, Lasagne",1500
Zingron,Yes,No,4.1,"Pork Ribs, Smoked Pork, Beef Pickle, Pork Meat, Wine, Pork Momo, Chilli Chicken",750
Empire Restaurant,No,No,3.9,"Non Veg Thali, Biryani, Ghee Rice",750
Arya Hungry?,Yes,No,4.3,"Kulcha, Chole, Mutton Curry, Paratha, Mint Raita, Chicken Curry, Dal Makhani",450
Senthur Cafe,No,No,3.4,Unknown,100
KFC,Yes,No,3.9,"Burgers, Zinger Burger, Chicken Bucket, Virgin Mojito, Chicken Wings, Crispy Chicken, Hot Wings",450
Coconadu,No,No,3.8,"Paratha, Biryani, Fish Fry",400
Beijing Bites,No,No,2.9,"Manchow Soup, Prawn, Chicken Noodle, Chicken Momo, Chop Suey",600
The Reservoire,No,Yes,4.5,"Cocktails, Bruschettas, Peppy Paneer Pizza, Beer, Sea Food, Caramel Custard, Peri Peri Wings",1300
The Terrace at Gilly's Redefined,No,Yes,4.5,"Cocktails, Mocktails, Beer, Biryani, Pizza, Drunken Prawn, Long Island Iced Tea",1400
Zee5 Loft,Yes,No,4.4,"Tomato Soup, Salad, Pizza, Fries, Brownie Shake, Pasta, Chicken Bbq Wings",500
Sotally Tober,No,Yes,4.4,"Cocktails, Barbeque Chicken Pizza, Nachos, Chocolate Martini, Bbq Chicken Pizza, Wedges, Beer",1200
Pasta Street,Yes,Yes,4.5,"Pasta, Wine, Lasagne, Cheesecake, Spinach Ravioli, Exotic Pizza, Cocktails",1300
The Smoke Co.,Yes,Yes,4.3,"Mysore Pak, Cocktails, Burgers, Pork Ribs, Fish, Mocktails, Churros",2500
Cheers Pub Bar & Restro,No,Yes,4.15,"Cocktails, Brownie, Verdure Pizza, Veg Bao, Fish, Mai Thai, Spaghetti",1100
Anjappar,No,No,4.0,"Tandoori Chicken, Biryani, Chettinad Thali, Elaneer Payasam, Crab Soup, Fish, Pepper Chicken",650
Nuts Over Salads Cafe,Yes,Yes,4.4,"Salad, Salads, Peri Peri Chicken, Burgers, Broccoli Soup, Steak, Soba Noodles",800
Karama Restaurant,Yes,No,4.1,"Mutton Mandi, Laccha Paratha, Mutton Nihari, Chicken Curry, Tawa Chicken, Rabri, Raan",750
Oldtown Dilli,Yes,Yes,4.1,"Rabri, Mutton Roganjosh, Tandoori Roti, Shahi Tukda, Naan, Mutton Seekh, Malai Kofta",750
Kargeens,Yes,No,4.1,"Mocktails, Pasta Alfredo, Nachos, Veggie Pizza, Hot Chocolate, Noodles, Brownie Shake",600
The Himalayan,No,Yes,4.4,"Mocktails, Kimchi, Sushi, Ginger Tea, Pork Bibimbap, Chicken Sizzler, Salads",1200
Indian Coffee House & Restaurant,No,No,4.1,"Buttermilk, Chicken Dosa, Masala Dosa, Filter Coffee, Tea, Chicken Sandwich, Paneer Dosa",650
Fresh Pressery Cafe,Yes,No,4.1,"Salads, Chicken Sandwich, Sandwiches, Spaghetti, Arugula Salad, Cheesecake, Cheese Chilli Toast",1200
Peace Restaurant,Yes,No,3.8,"Momos, Thukpa, Dumplings, Crispy Chilli Potatoes, Beef Shaptak Dry, Chicken Momo, Fruit Beer",500
Tilt Gastro Lounge,No,Yes,4.1,"Cocktails, Burgers, Pasta, Exotic Pizza, Honey Chilli Potatoes, Long Island Iced Tea, Nachos",1500
Bulls N Bears - Bar Trade Xchange,No,Yes,3.8,"Mango Cheesecake, Pizza, Beer, Mocktails, Crispy Water Chestnuts, Cosmopolitan, Prawn",1000
Desipun,Yes,Yes,4.2,"Paneer Tikka Masala, Lassi, Naan, Buttermilk, Soya Chaap, Aloo Paratha, Panneer Butter Masala",700
Pipabu,Yes,No,3.6,"Pasta, Pizza",750
Lazeez,Yes,No,3.1,"Biryani, Rolls, Firni, Chicken Roll, Mutton Pasanda, Mutton Kasha, Mutton Rezala",600
WTF,Yes,No,4.1,"Cheesy Pizza, Cheese Pasta, Brownie Milkshake, Peri Peri Chicken, Steak, Nachos, Omelette",600
Fandom at Gilly's Redefined,No,No,3.8,"Onion Rings, French Fries",1500
Mayura Grand,No,No,3.6,"Masala Dosa, Tea, Onion Dosa, Vada, Rava Idli, Kesari Bath",400
Dhuaan,No,No,4.4,"Paneer Pizza, Oreo Shake, Onion Rings, Maggi, Peri Peri Chicken Pizza, Lamb Burger, Cheese Balls",800
Momoz,Yes,No,3.9,"Noodles, Thukpa, Chop Suey, Chicken Momo, Cheese Momos, Sweet Corn Soup, Prawn",600
Vasudev Adiga's,No,No,2.9,"Filter Coffee, Mysore Masala Dosa, Buttermilk, Idli, Rava Dosa, Neer Dosa, Thali",250
Kaaram,Yes,No,3.8,"Mughlai Biryani, Vegetable Biryani, Kaaram Biryani, Gulab Jamun, Raita, Kebab Biryani, Dum Biryani",500
California Burrito,No,No,4.1,"Rice Bowl, Nachos, California Burrito, Rice Bowls, Chicken Quesadilla, Bbq Chicken, Pink Lemonade",400
Stoner,Yes,No,4.4,"Burgers, Spinach Pizza, Butter Chicken Pizza, Chicken Bbq Burger, Tiramisu, Ferrero Rocher, Brownie Shake",500
Madurai Idly Shop,No,No,3.8,"Tea, Upma, Coffee, Pongal, Podi Idli, Masala Vada, Mini Idlis",200
Guns N Roses,Yes,No,3.7,Unknown,300
Sagar Fast Food,Yes,No,3.9,"Tea, Coffee, Neer Dosa, Gajar Ka Halwa, Thali, Chaat, Cheese Dosa",300
Namma Biriyani,Yes,No,3.8,Unknown,250
Taste of Nepal,Yes,No,3.5,Unknown,300
Mountain Spice,Yes,No,3.9,"Momos, Chicken Lollipop, Chicken Momo, Noodles, Chicken Thukpa",200
Little Kolkata,Yes,No,3.9,"Fish, Thali, Rolls, Rasgulla, Chicken Biryani",500
Jeevika Donne Biryani,No,No,3.4,Unknown,300
Maa Durga Fast Food,Yes,No,3.6,Unknown,200
Navaneetha,No,No,3.3,Unknown,350
Shanghai Times,No,No,2.9,Unknown,500
The Globe Grub,No,Yes,4.4,"Prawn, Dal Makhani, Fish, Shahi Tukda, Barfi, Pizza, Veg Mushroom",1300
Pin Me Down,Yes,Yes,4.5,"Paneer Tikka, Chilli Chicken, Pizza, Mocktails, Chowmein, Pasta Alfredo, Tandoori Aloo",800
B-hive,No,Yes,4.3,"Tandoori Chicken, Cocktails, Noodles, Beer, Nachos, Pasta, Dragon Chicken",1200
Cafe Thulp,Yes,No,4.2,"Burgers, Fries, Pasta, Pork Chops, Chocolate Milkshake, Sandwiches, Waffles",1000
Fattoush,Yes,No,4.1,"Fattoush, Crispy Chilli Potatoes, Mutton Roganjosh, Butter Chicken Biryani, Crispy Chilli Babycorn, Chicken Grill, Tandoori Chicken",900
Cafe Terra,Yes,No,4.1,"English Breakfast, Waffles, Chocolate Cake, Chicken Lasagne, Ginger Tea, Burgers, Chicken Thukpa",700
KKR Foodies,Yes,No,3.7,Friendly Staff,400
Alankrutha,Yes,No,3.8,"Chicken Biryani, Hyderabadi Biryani, Dum Biryani",550
New Gongura's,Yes,No,3.7,Unknown,550
Head's Or Tail's,No,Yes,4.0,Beer,1000
New Limra Hotel,No,No,3.3,Unknown,200
Hotel Janatha,No,No,3.9,"Masala Dosa, Filter Coffee, Tea, Onion Dosa, Vada Sambar, Badam Milk, Badam Halwa",250
Srinivasa Mess,Yes,No,3.7,Unknown,300
All Aromas,Yes,No,3.5,Unknown,400
Royal Biryani Kitchen,Yes,No,4.0,"Mutton Biryani, Dragon Chicken, Chicken Dum Biryani, Vegetable Biryani, Paneer Biryani",600
Ammus Hot N Cool,Yes,No,3.5,Unknown,300
Swad Restaurant,Yes,No,3.7,"Butter Chicken, Mushroom Manchurian, Bhindi Fry",500
The Biriyani Factory,No,No,3.1,Unknown,500
Armaani Caffe,Yes,No,3.5,Unknown,300
Bharathi Refreshments,No,No,3.7,"Pongal, Filter Coffee, Idli, Masala Dosa",150
Ambur Star Dum Biriyani,No,No,3.3,Unknown,200
Kshatriya's Biriyani House,No,No,3.5,Unknown,200
Panchami Garden,No,No,3.5,"Masala Dosa, Idli",400
Dadaba's,No,No,3.3,Unknown,300
Fahad Hotel,No,No,3.3,Unknown,200
Royal India Kabab Corner,No,No,3.1,Unknown,300
Santrupti Uttara Karnataka Food Store,No,No,3.3,Unknown,200
Foxtrot - House of Subculture,No,Yes,4.4,"Cocktails, Fish, Mocktails, Momos, Pizza, Chicken Lollipop, Mushroom Risotto",1000
Cheers Pub Bar & Restro,No,Yes,4.1,"Cocktails, Brownie, Verdure Pizza, Veg Bao, Fish, Mai Thai, Spaghetti",1100
Crawl Street,Yes,Yes,4.2,"Biryani, Cocktails, Pasta, Peri Peri Chicken, Paneer Tikka Masala, Mocktails, Pizza",1200
Cheers Pub Bar & Restro,No,Yes,4.2,"Cocktails, Brownie, Verdure Pizza, Veg Bao, Fish, Mai Thai, Spaghetti",1100
Jimi's Beer Cafe,No,No,3.8,"Beer, Steak, Chilli Chicken, Burgers, Tandoori Chicken, Masala Peanuts, Fries",1800
One Atria Cafe,No,Yes,3.8,Indian Sweets,1600
JW Kitchen - JW Marriott Bengaluru,No,Yes,4.4,"Pasta, Breakfast Buffet, Lasagne, Salads, Chocolate Cake, Chicken Soup, Seafood Salad",2200
Parika Multicuisine Restaurant,Yes,Yes,3.8,"Tandoori Chicken, Kheer, Chicken Tikka, Butter Naan, Sweet Lassi, Caramel Custard, Panipuri",1200
Rasovara,Yes,Yes,4.3,"Thali, Aamras, Malpua, Dal Bati, Lassi, Plain Rice, Buttermilk",1400
The Spice Bazaar,No,Yes,4.2,"Brownie, Mutton Seekh, Salads, Rasmalai, Tandoori Aloo, Mutton Soup, Lunch Buffet",1000
BBQ'D - Global Grill & Brewery,No,No,4.3,"Chicken Kebab, Butter Chicken, Papdi Chaat, Pizza, Dahipuri, Cocktails, Rice Kheer",1500
Cafe Mangii,Yes,Yes,4.3,"Pizza, Pasta, Mocktails, Tiramisu, Mousse, Sangria, Minestrone Soup",1600
South Parade - The Chancery Hotel,No,No,3.1,"Breakfast Buffet, Salads",1200
Olive Bar And Kitchen,No,Yes,4.6,"Salads, Cocktails, Hazelnut Cake, Pepperoni Pizza, Mocktails, Calamari, Risotto",1800
Chutney Chang,Yes,Yes,4.2,"Chaat, Chocolate Wonton, Apple Pie, Raj Kachori, Caramel Custard, Momos, Chicken Curry",1500
Ebony,Yes,Yes,4.3,"Appam, Khao Suey, Chicken Biryani, Kebab Platter, Rabri, Prawn, Pad Thai",1500
The Tao Terraces,Yes,Yes,3.9,"Salads, Cocktails, Khao Suey, Laksa, Jumbo Prawns, Veg Sushi, Espresso Martini",2100
Rim Naam - The Oberoi,No,No,4.6,"Seafood Soup, Mocktails, Mushroom Salad, Thai Salad, Wine, Jasmine Rice, Thai Red Curry",3000
Oh! Calcutta,Yes,Yes,4.5,"Fish, Curry Crab, Mocktails, Luchi, Kosha Mangsho, Sea Food, Daab Chingri",1200
Mainland China,Yes,Yes,4.5,"Hunan Tofu, Noodles, Jumbo Prawns, Jasmine Tea, Chicken Momo, Cocktails, Momos",1700
Empire Restaurant,Yes,No,4.0,"Paneer Tikka, Chicken Popcorn, Bheja Fry, Ghee Rice, Jumbo Shawarma, Brain Fry, Biryani",750
Le Jardin - The Oberoi,No,No,4.3,"Breakfast Buffet, Biryani, Chocolate Cake, Salads, Pasta, Paneer Tikka, Mushroom Soup",3000
BBQ@52,No,Yes,3.8,Pasta,1500
Konark Vegetarian Restaurant,No,No,4.1,"Hyderabadi Biryani, Masala Poori, Kulcha, Butter Masala Dosa, Chaat, Filter Coffee, Kesari Bath",500
Mynt - The Taj West End,No,Yes,4.1,"Sunday Brunch, Pasta, Shawarma, Breakfast Buffet, Lamb, Lunch Buffet, Pizza",2500
Kitchen On Table,Yes,No,4.0,"Sea Food, Sushi",1500
The Market - The Ritz-Carlton,No,Yes,4.3,"Pizza, Waffles, Roti, Pasta, Sushi, Salads, Fish",3400
WelcomCafe Jacaranda - WelcomHotel Bengaluru,No,No,4.0,"Fish, Tiramisu, Filter Coffee Ice Cream, Brownie, Biryani, Chicken Korma, Chapa Pulusu",2000
Panchavati Gaurav Thali,No,Yes,4.0,"Veg Thali, Dahi Vada, Malpua, Rajasthani Thali, Rabri, Buttermilk, Jalebi",800
Puran da Dhaba - The Pride Hotel,Yes,No,4.0,"Paneer Tikka, Biryani, Hara Bhara Kebab, Gulab Jamun, Mocktails, Roti, Fish",1700
Ithaca - The Chancery Pavilion,No,Yes,3.9,"Salads, Sunday Brunch, Cocktails, Watermelon Juice, Fish, Club Sandwich, Breakfast Buffet",2000
Tiger Trail - Ramada Hotel,Yes,Yes,4.0,"Biryani, Custard, Paratha, Poha, Breakfast Buffet, Thali, Dal Makhani",1300
The Oriental Spice - Ashraya Hotel,Yes,No,3.9,"Noodles, Lunch Buffet, Fish, Manchurian, Salads, Salad",1300
Pinxx - Royal Orchid Central,Yes,Yes,3.8,"Mutton Biryani, Salads, Fish, Sandwiches, Breakfast Buffet, Cheesecake",1600
Monsoon - The Park Bangalore,No,Yes,4.1,"Salads, Brownie, Cheesecake, Salad, Biryani, Dal Makhani, Pizza",3000
Cafe Treat - The Pride Hotel,Yes,No,4.1,"Cosmopolitan, Salads, Chaat, Coffee, Biryani, Dal Makhani, Butter Chicken",1000
Mint Masala,No,No,2.8,"Salads, Mint Masala, Breakfast Buffet, Pasta, Spring Roll, Lunch Buffet, Roti",1000
Saatvikk,No,No,2.8,"Masala Papad, Cheese Garlic Naan, Coffee, Corn Soup, Pasta",650
Curry with a 'K' - St. Mark's Hotel,No,No,3.9,"Salad, Apple Tart, Salads, Vada, Idli, Dhokla, Pasta",1400
Northern Gate- Gateway Hotel,No,Yes,4.0,"Cut Fruits, Pasta, Sunday Brunch",1900
Canopy,No,No,3.0,Gulab Jamun,800
Cafe @ Elanza,No,No,3.7,"Breakfast Buffet, Omelette, Lunch Buffet, Pasta",1000
The Hub - Ibis Hotel,No,No,3.5,Salads,2200
Tiffanys,No,No,2.9,Unknown,1000
70 Brigade - Iris Hotel,No,Yes,3.9,"Salads, Jalebi, Pasta, Rabri, Fish Curry, Salad, Mysore Pak",1000
Nithyothsav - Hotel Ramanashree,No,No,3.0,Unknown,1000
Cafe Monarch Luxur,No,No,3.8,Unknown,800
Sunehri,No,No,3.8,"Buttermilk, Thali, Breakfast Buffet, Vada, Pongal",500
Bazaar- Zone By The Park,No,Yes,3.8,Unknown,1100
VT Sindhur Veg,No,No,3.3,Unknown,600
Monarch,No,No,3.5,Unknown,700
Spice It,No,No,3.8,"Noodles, Fish",1200
Woody's,No,No,2.3,"Coffee, Idli, Vada, Thali",650
Caraway Kitchen - Conrad Bengaluru,No,Yes,4.3,"Pasta, Appam, Pizza, Pancakes, Chaat, Fish, Masoor Dal",2800
Barbeque Nation,No,Yes,4.4,"Mutton Seekh, Paan Kulfi, Biryani, Fish, Crispy Corn, Salads, Panipuri",1600
La Brasserie - Le Meridien,No,Yes,4.1,"Pasta, Veg Sushi, Biryani, Lunch Buffet, Waffles, Grilled Lamb, Sunday Brunch",4100
b Caf - Shangri-La Hotel,No,Yes,4.3,"Sea Food, Lunch Buffet, Sushi, Cappuccino, Mutton Biryani, Noodles, Salads",3400
Skylit - Citrus Hotels,No,Yes,4.1,"Gulab Jamun, Sea Food, Bruschettas, Paneer Tikka, Gajar Halwa, Shahi Tukda, Biryani",1300
Banjara Melting Pot,Yes,Yes,4.2,"Lamb Curry, Cocktails, Neer Dosa, Veg Starter, Prawn Ghee Roast, Chicken Biryani, Mocktails",1700
Zodiac - Fortune Select JP Cosmos Hotel,Yes,Yes,3.8,"Salads, Biryani, Chicken Salad, Lunch Buffet, Breakfast Buffet, Fish, Panipuri",1800
MG's Fine Dining & Bar - Springs Hotel & Spa,No,Yes,3.8,Unknown,800
24 Carats - The Capitol,No,No,3.1,Unknown,1000
BISO - Citrus Hotels,No,Yes,3.9,"Fish, Peas Pulao, Naan, Kulcha",1100
Pepper's - The Palladium,No,Yes,3.7,Unknown,700
La Boulangerie - Le Meridien,No,No,3.7,Unknown,2000
Coastal Creek,No,No,3.3,Unknown,600
Spice Cove - I.V Sanctum,No,No,3.8,Biryani,750
Cafe Azzure,Yes,Yes,4.2,"Pasta, Wedges, Pizza, Nachos, Mocktails, Burgers, Thick Shakes",1200
BLOW,Yes,Yes,4.3,"Mocktails, Pasta, Burgers, Sandwich, Salsa, Salad, Hazelnut Frappe",750
Glen's Bakehouse,Yes,No,4.4,"Pizza, Coffee, Pasta, Tiramisu, Cheesecake, Hot Chocolate, Pie",600
Bengaluru Baking Company - JW Marriott Bengaluru,No,No,4.3,"Coffee, Fruit Tart, Croissants, Eclair, Sandwich, Nachos, Tiramisu",1400
Cafe Coffee Day The Square,No,No,4.1,"Pasta, Sandwich, Sandwiches, Cappuccino, Brownie, Burgers, Hot Chocolate",1100
The Blackboard Bakery,No,Yes,3.7,"Pancakes, Sandwich, Coffee",1000
Fresh Pressery Cafe,No,No,4.1,"Salads, Sandwiches, Arugula Salad, Pasta, Avocado Sandwich, Protein Smoothie, Spaghetti",1200
Brik Oven,No,No,4.6,"Garlic Bread, Waffles, Brownie Shake, Cookie Monster Shake, Wood Fire Pizza, Big Bang Shake, Mushroom Pizza",1100
Green Theory,Yes,Yes,4.2,"Potato Skins, Pizza, Mushroom Soup, Pasta, Banana Smoothie, Almond Soup, Kiwi Lemonade",800
Truffles,No,No,4.5,"Burgers, Pasta, Mocktails, Cheese Burger, Ferrero Rocher Milkshake, Peri Chicken, Chicken Paprika",900
Caf Felix,Yes,Yes,4.4,"Burgers, Sandwiches, Peanut Butter Smoothie, Margherita Pizza, Ravioli, Cocktails, Hot Chocolate",1700
The White Room - Coffee & Kitchen,No,Yes,4.1,"Mushroom Quiche, Chicken Quiche, Coffee, Chocolate Milkshake, Caramel Frappe, Espresso, Tea",1000
Matteo Coffea,No,No,4.4,"Coffee, Pasta, Donut, Salads, Choco Brownie Shake, Tiramisu Cheesecake, Sandwiches",600
Cafe Mozaic - Taj MG Road Bengaluru,No,Yes,4.1,"Paneer Lababdar, Sandwiches, Oysters, Paratha, Coffee, Jeera Rice, Biryani",2500
Smally's Resto Cafe,Yes,No,4.2,"Burgers, Snicker Shake, Thick Shakes, Pasta, Chicken Wings, Peri Fries, Peri Peri Chicken Burger",650
Japan Travel Cafe Azuki,No,No,4.3,"Miso Soup, Tempura",400
Little Green Cafe,No,No,4.3,"Spaghetti, Mezze Platter, Bombay Sandwich, Tomato Ragout, Mushroom Sandwich, Thai Green Curry, Tea",900
Fabcafe,Yes,Yes,4.1,Unknown,800
Lakeview Milkbar,No,No,4.0,"Butterscotch Ice Cream, Sandwiches, Milk Shake, Brownie, Hot Chocolate Fudge, Vanilla Ice Cream, Burgers",450
Wolf'ish,Yes,No,4.1,"Burgers, Peri Peri Chicken, Fries, Mojito, Bbq Chicken Pizza, Mozzarella Sticks, Pasta",700
Peppa Zzing,Yes,No,4.3,"Burgers, Pasta, Cheesy Fries, Beef Burger, Ice Tea, Steak Burger, Lamb",800
The Flying Squirrel,No,No,4.0,Unknown,450
The Courtyard,No,Yes,3.9,"Hot Chocolate, Sandwiches, Garden Pizza, Pasta, Cappuccino, Garlic Bread, Sunday Morning Breakfast",750
Marzipan @ The Bohemian House,No,No,4.2,Unknown,700
Cafe Imroze,Yes,No,3.6,"Pasta, Burgers, Fries, Bbq Chicken Pizza, Peri Peri Chicken Pizza, Bbq Burger, Nachos",650
Starbucks,No,No,3.9,Coffee,700
Happy Belly Bakes,Yes,No,4.1,"Hot Chocolate, Waffles, Brownie, Chicken Pizza, Tea, Chocolate Cupcake, Pasta",500
Trick Or Treat,No,No,4.2,"Burgers, Pizza, Pasta, Sandwich, Peri Peri Chicken Satay, Fries, Nachos",500
The Chocolate Heaven,Yes,No,3.8,"Paneer Pizza, Sizzler Brownie, Hot Chocolate, Pancakes, Pasta, Coffee, Nutella Waffle",600
Caf MH-28,Yes,No,3.4,Unknown,300
WAFL Caf,Yes,No,3.9,"Waffles, Pie, Corn Dog",400
The Caf @ Saanchi,No,No,4.0,Unknown,800
Tata Cha,Yes,No,3.8,"Chai, Ginger Tea, Poha, Masala Tea, Coffee, Bun Maskas",500
Haji Ali Juice Centre,No,No,3.8,"Faluda, Sandwiches, Paneer Tikka Pizza, Cream Mango, Custard Apple Cream, Veg Sandwich",350
Yomama!!,No,No,3.6,"Burgers, Spaghetti, Beef Burger, Cheesecake, Steak, Chicken Burger, Pasta",800
Driven Cafe,Yes,No,3.4,"Coffee, Fries, Cappuccino, Margherita Pizza",600
Soul Cafe,No,Yes,3.9,"Mocktails, Peri Peri Chicken, Coffee Hazelnut, Oreo Shake, Nachos, White Sauce Pasta, Ice Tea",800
Barista,No,No,3.7,"Coffee, Cappuccino, Sandwiches, Chicken Sandwich",300
Cafe 22,No,No,3.0,Unknown,700
Chai Ki Tapri,No,No,3.7,Unknown,250
Cafe Aladdin,No,No,3.9,Friendly Staff,500
Hashtag Cafe,No,No,2.8,Unknown,700
Bread and Circus,No,No,3.7,Unknown,550
Savera Cafe,Yes,No,3.6,Unknown,50
Smokie Brownie,No,No,3.2,Unknown,600
Aubree,Yes,No,3.2,"Cup Cake, Peri Peri Paneer Pizza, Coffee, Waffles, Hot Chocolate, Chocolate Hazelnut, Rainbow Cake",400
Norsha Caffe,No,No,3.3,Unknown,400
Swati Cafe,No,No,2.9,Unknown,500
Little Bites,No,No,3.6,"Pasta, Sandwiches, Chicken Jumbo Burger, Burgers, Lime Soda Sweet, Sandwich, Fried Cheese",200
Dasaprakash Cafe,No,No,3.2,Unknown,400
The Bao Belly,No,No,3.3,Unknown,400
The Coffee Bean & Tea Leaf,Yes,No,3.8,"Coffee, Sandwiches, Blueberry Muffin, Pancakes, Espresso, Cappuccino, Cheesecake",700
Bon Sante,No,No,3.6,"Burgers, Sandwiches, Fries, Pasta, Tea, Chicken Curry, Fried Rice",800
Berrylicious Cafe,Yes,No,4.1,"Waffles, Sandwiches, Nachos, Burgers, Chicken Keema Pizza, Penne Pasta, Smoothie Bowl",900
Tea and Wine Lounge,No,No,3.6,Unknown,800
Kalmane Koffees,No,No,3.6,"Filter Coffee, Cafe Mocha, Blueberry Muffin",350
Hammered,Yes,Yes,4.7,"Sangria, Chicken Satay, Crispy Corn, Masala Fries, Wood Fire Pizza, Pesto Pasta, Cocktails",1300
The Culinarium,No,No,4.0,"Pie, Salted Caramel",1100
Dolci Desserts,Yes,No,4.3,"Cappuccino, Eclair, Pizza, Coffee, Blueberry Cheesecake, Oreo Cheesecake, Tiramisu",750
Cafe Kaara,No,No,4.3,"Coffee, Cappuccino, Hot Chocolate, Sandwich, Tiramisu, Pasta, Fries",750
Step Right Up,Yes,No,4.1,"Burgers, Peri Peri Fries, Exotic Pizza, Sandwiches, Veggie Pizza, White Sauce Pasta, French Fries",300
Infinitea Tea Room & Tea Store,Yes,Yes,4.3,"Tea, Momos, Tiramisu, Sandwiches, Pesto Pasta, Sandwich, Chips",1000
Mudpipe Cafe,Yes,No,4.2,"Sandwiches, Lemonade, Nachos, Mozzarella Sticks, Fries, Pasta, Pizza",750
Cafe Cassia& Deli,No,No,4.2,"Coffee, Pasta, Tea",1000
Bangalore Masala House,Yes,No,4.1,"Peri Peri Chicken, Shikanji, Peri Peri Pizza, Burgers, Steak, Bun Maskas, Pasta",500
The Lobby Brew - Conrad Bengaluru,No,Yes,3.8,Unknown,2200
Chels Cafe,Yes,No,3.5,Unknown,500
BanBay,No,No,4.0,"Waffles, Burgers, Fish",1100
The Lobby Lounge - Shangri-La Hotel,No,No,3.8,"Coffee, Masala Tea, Cappuccino, Latte",2000
Talk Ease,No,No,3.1,Unknown,200
eat.fit,Yes,No,4.5,"Sandwiches, Salads, Paratha, Chicken Curry, Dal Makhani, Noodles, Apple Mojito",500
Leon Grill,Yes,No,4.3,"Burgers, Fries, Peri Peri Chicken, Nachos, Wings, Rolls, Tandoori Burger",500
FreshMenu,Yes,No,3.6,"Salads, Burgers, Salad, Potato Wedges, Pizza, Noodles, Fish",450
Corner House Ice Cream,Yes,No,4.4,"Hot Chocolate Fudge, Brownie Fudge Sundae, Brownie Bomb, Apple Pie, Fudge Cake, Apple Cake, Chocolate Mousse",400
New Taj,Yes,No,3.2,Unknown,300
Energy Addaa,Yes,No,4.2,"Pizza, Nachos, Salads, Peri Peri Fries, Brownie, Pasta Alfredo, Spaghetti",500
Dev Sagar - Food Street,Yes,No,4.1,"Chaat, Pav Bhaji, Dabeli, Vada Pav, Tawa Pulav, Panipuri, Malpua",200
Dunkin' Donuts,Yes,No,4.0,"Burgers, Coffee, Chocolate Donut, Bagel, Chocolate Drink, Dunkaccinos, Hot Chocolate",550
Shahi Family Restaurant,Yes,No,3.2,Unknown,350
Pathaan Sir,Yes,No,3.8,"Rolls, Fries, Egg Roll",300
Gullu's Chat,Yes,No,3.7,"Chaat, Panipuri, Masala Poori, Pav Bhaji, Bhel Puri, Pizza, Dahi Papdi",250
BOX8- Desi Meals,Yes,No,4.3,"Dal Makhani, Chicken Curry, Sandwiches, Paratha, Butter Chicken",500
Moto Store & Caf,Yes,No,4.2,"Wedges, Maggi, Burgers, Waffles, Margherita Pizza, Aam Panna, Tea",500
Donne Biryani House,Yes,No,3.4,Unknown,400
Tadkawala,Yes,No,3.4,Veg Thali,200
Shawarma Time,Yes,No,3.7,Unknown,300
Bangalore Shadi Biriyani,Yes,No,3.5,Unknown,150
Behrouz Biryani,Yes,No,4.0,"Gulab Jamun, Basmati Rice, Paneer Subz Biryani, Gosht Dum Biryani, Chicken Biryani",650
Pizza Hut,Yes,No,3.8,"Garlic Bread, Paneer Pizza, Supreme Pizza, Tandoori Paneer",750
Polar Bear,Yes,No,3.8,Hot Chocolate Fudge,400
KFC,Yes,No,3.6,"Burgers, Crispy Chicken, Chicken Zinger Burger, French Fries, Chicken Fries, Hot Wings",400
Dakshin Restaurant,Yes,No,3.6,Unknown,800
Ovenstory Pizza,Yes,No,3.8,Pizza,800
Sagar,Yes,No,4.0,"Misal Pav, Pizza, Fafda, Pav Bhaji, Rava Dosa, Chaat, Panipuri",600
Richie Rich,Yes,No,4.0,"Tawa Pulav, Faluda, Pav Bhaji, Ice Cream Sundae, Brownie, Hot Chocolate Fudge, Fruit Salad",450
Belgian Waffle Factory,Yes,No,4.9,"Coffee, Berryblast, Nachos, Chocolate Waffles, Nutella Waffle, Chocolate Overload, Sandwiches",400
No 10 Fort Cochin,Yes,Yes,3.8,"Fish, Thali, Egg Roast, Buttermilk, Kerala Parotta, Paratha, Kadala Curry",800
Shanthi Sagar,Yes,No,4.1,"Coffee, Roti, Vada Pav",250
Faasos,Yes,No,3.9,"Rolls, Veggie Wrap, Biryani, Paratha, Cheesy Chicken Wrap",500
Burger King,Yes,No,3.9,"Burgers, Chicken Tandoori Grill Burger, Cheesy Chicken Fries, Chicken Whopper, Whopper Burger, Tandoor Chicken Burger, Mutton Whopper",600
KKR FOODIES,Yes,Yes,3.2,Biryani,400
